name,mem,cpu,proc,storage,net,cost
r5ad.24xlarge,768,96,AMD EPYC 7571,3600 GB                 (4 * 900 GB NVMe SSD),20,6.288
r5a.24xlarge,768,96,AMD EPYC 7571,EBS only,20,5.424
m5ad.24xlarge,384,96,AMD EPYC 7571,3600 GB                 (4 * 900 GB NVMe SSD),20,4.944
r5ad.16xlarge,512,64,AMD EPYC 7571,2400 GB                 (4 * 600 GB NVMe SSD),12,4.192
m5a.24xlarge,384,96,AMD EPYC 7571,EBS only,20,4.128
r5a.16xlarge,512,64,AMD EPYC 7571,EBS only,12,3.616
m5ad.16xlarge,256,64,AMD EPYC 7571,2400 GB                 (4 * 600 GB NVMe SSD),12,3.296
r5ad.12xlarge,384,48,AMD EPYC 7571,1800 GB                 (2 * 900 GB NVMe SSD),10,3.144
m5a.16xlarge,256,64,AMD EPYC 7571,EBS only,12,2.752
r5a.12xlarge,384,48,AMD EPYC 7571,EBS only,10,2.712
m5ad.12xlarge,192,48,AMD EPYC 7571,1800 GB                 (2 * 900 GB NVMe SSD),10,2.472
r5ad.8xlarge,256,32,AMD EPYC 7571,1200 GB                 (2 * 600 GB NVMe SSD),Up to 10,2.096
m5a.12xlarge,192,48,AMD EPYC 7571,EBS only,10,2.064
r5a.8xlarge,256,32,AMD EPYC 7571,EBS only,Up to 10,1.808
m5ad.8xlarge,128,32,AMD EPYC 7571,1200 GB                 (2 * 600 GB NVMe SSD),Up to 10,1.648
m5a.8xlarge,128,32,AMD EPYC 7571,EBS only,Up to 10,1.376
r5ad.4xlarge,128,16,AMD EPYC 7571,600 GB                 (2 * 300 GB NVMe SSD),Up to 10,1.048
r5a.4xlarge,128,16,AMD EPYC 7571,EBS only,Up to 10,0.904
m5ad.4xlarge,64,16,AMD EPYC 7571,600 GB                 (2 * 300 GB NVMe SSD),Up to 10,0.824
m5a.4xlarge,64,16,AMD EPYC 7571,EBS only,Up to 10,0.688
r5ad.2xlarge,64,8,AMD EPYC 7571,300 GB                 NVMe SSD,Up to 10,0.524
r5a.2xlarge,64,8,AMD EPYC 7571,EBS only,Up to 10,0.452
m5ad.2xlarge,32,8,AMD EPYC 7571,300 GB                 NVMe SSD,Up to 10,0.412
m5a.2xlarge,32,8,AMD EPYC 7571,EBS only,Up to 10,0.344
r5ad.xlarge,32,4,AMD EPYC 7571,150 GB                 NVMe SSD,Up to 10,0.262
r5a.xlarge,32,4,AMD EPYC 7571,EBS only,Up to 10,0.226
m5ad.xlarge,16,4,AMD EPYC 7571,150 GB                 NVMe SSD,Up to 10,0.206
m5a.xlarge,16,4,AMD EPYC 7571,EBS only,Up to 10,0.172
r5ad.large,16,2,AMD EPYC 7571,75 GB                 NVMe SSD,Up to 10,0.131
r5a.large,16,2,AMD EPYC 7571,EBS only,Up to 10,0.113
m5ad.large,8,2,AMD EPYC 7571,75 GB                 NVMe SSD,Up to 10,0.103
m5a.large,8,2,AMD EPYC 7571,EBS only,Up to 10,0.086
r6a.48xlarge,1536,192,AMD EPYC 7R13 Processor,EBS only,50,10.8864
r6a.metal,1536,192,AMD EPYC 7R13 Processor,EBS only,50,10.8864
m6a.48xlarge,768,192,AMD EPYC 7R13 Processor,EBS only,50,8.2944
m6a.metal,768,192,AMD EPYC 7R13 Processor,EBS only,50,8.2944
c6a.48xlarge,384,192,AMD EPYC 7R13 Processor,EBS only,50,7.344
c6a.metal,384,192,AMD EPYC 7R13 Processor,EBS only,50,7.344
r6a.32xlarge,1024,128,AMD EPYC 7R13 Processor,EBS only,50,7.2576
m6a.32xlarge,512,128,AMD EPYC 7R13 Processor,EBS only,50,5.5296
r6a.24xlarge,768,96,AMD EPYC 7R13 Processor,EBS only,37.5,5.4432
c6a.32xlarge,256,128,AMD EPYC 7R13 Processor,EBS only,50,4.896
m6a.24xlarge,384,96,AMD EPYC 7R13 Processor,EBS only,37.5,4.1472
c6a.24xlarge,192,96,AMD EPYC 7R13 Processor,EBS only,37.5,3.672
r6a.16xlarge,512,64,AMD EPYC 7R13 Processor,EBS only,25,3.6288
m6a.16xlarge,256,64,AMD EPYC 7R13 Processor,EBS only,25,2.7648
r6a.12xlarge,384,48,AMD EPYC 7R13 Processor,EBS only,18.75,2.7216
c6a.16xlarge,128,64,AMD EPYC 7R13 Processor,EBS only,25,2.448
m6a.12xlarge,192,48,AMD EPYC 7R13 Processor,EBS only,18.75,2.0736
c6a.12xlarge,96,48,AMD EPYC 7R13 Processor,EBS only,18.75,1.836
r6a.8xlarge,256,32,AMD EPYC 7R13 Processor,EBS only,12.5,1.8144
m6a.8xlarge,128,32,AMD EPYC 7R13 Processor,EBS only,12.5,1.3824
c6a.8xlarge,64,32,AMD EPYC 7R13 Processor,EBS only,12.5,1.224
r6a.4xlarge,128,16,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.9072
m6a.4xlarge,64,16,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.6912
c6a.4xlarge,32,16,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.612
r6a.2xlarge,64,8,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.4536
m6a.2xlarge,32,8,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.3456
c6a.2xlarge,16,8,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.306
r6a.xlarge,32,4,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.2268
m6a.xlarge,16,4,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.1728
c6a.xlarge,8,4,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.153
r6a.large,16,2,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.1134
